Title;Authors;Abstract;Published Year;Published Month;Journal;Volume;Issue;Pages;Accession Number;DOI;Ref;Covidence #;Study;Tags
Acquisition of a Picture Prompt Strategy To Increase Independent Performance;"Copeland, Susan R.; Hughes, Carolyn";Two high school students with severe disabilities were taught to perform job tasks using a two-step process: touching a picture to prompt initiation of a task and turning a picture in a booklet to indicate task completion. As participants acquired the picture prompt strategy, their independent task initiations increased. (Contains references.) (Author/CR);2000;09-01;Education and Training in Mental Retardation and Developmental Disabilities;35;3;294-305;;;;#28025;Copeland 2000;
High-Probability Requests and a Preferred Item as a Distractor: Increasing Successful Transitions in Children with Behavior Problems;"Davis, Carol Ann; Reichle, Joe E.; Southard, Kristin L.";A study compared the effects of two interventions (high-probability requests and preferred item as a distractor) on the success of classroom transitions of two 6-year-olds with behavior problems in inclusive classrooms. Results indicated that both interventions were effective in increasing successful transitions and were found to be socially valid. (Contains references.) (Author/CR);2000;11-01;Education and Treatment of Children;23;4;423-40;;;;#30810;Davis 2000;
The blocking effect of pictorial prompts on sight-word reading;"Didden, R; Prinsen, H; Sigafoos, J";;2000;;JOURNAL OF APPLIED BEHAVIOR ANALYSIS;33;3;317-320;;10.1901/jaba.2000.33-317;;#1231;Didden 2000;
Role of music therapy in social skills development in children with moderate intellectual disability;"Duffy, Barbara; Fuller, Ray";Investigated the effectiveness of a music therapy program in the enhancement of the social skills of children with moderate intellectual disability. 32 children (aged 5–10 yrs) from 4 intellectual disability centers participated. At each center, 4 children were randomly selected to participate in the music therapy program, while 4 children were assigned to a non-music control group program. One staff member was trained in each group procedure at each center, and requested to run 30-min group sessions twice weekly over an 8-wk intervention period. Five social skills were targeted for intervention: turn-taking, imitation, vocalization, initiation and eye contact. Measures of effectiveness involved comparison of pre- and postintervention scores on 5 target skills using a brief social skills test specifically designed for the study. Evaluation forms completed by teachers also provided feedback on the effectiveness of the intervention. The results reflect significant improvements in the 5 target social skills across both conditions following the 8-wk intervention. However, this difference was found to be independent of the music/non-music intervention. The operational definitions of the skills constituting the social skills test are appended. (PsycINFO Database Record (c) 2016 APA, all rights reserved);2000;01-01;Journal of Applied Research in Intellectual Disabilities;13;2;77-89;;;;#20386;Duffy 2000;
Measuring and increasing silent reading comprehension rates: Empirically validating a repeated readings intervention;"Freeland, JT; Skinner, CH; Jackson, B; McDaniel, CE; Smith, S";;2000;;PSYCHOLOGY IN THE SCHOOLS;37;5;415-429;;"10.1002/1520-6807(200009)37:5<415::AID-PITS2>3.0.CO;2-L";;#767;Freeland 2000;
Promoting Self-Determination: Using Take Action to Teach Goal Attainment;"German, S.L.; Martin, J.E.; Huber Marshall, L.; Sale, R.P.";Transition programs that teach self-determination skills must provide students the opportunity to practice these skills. Teaching students goal attainment skills and providing them the opportunity to achieve their own IEP goals is one example of a self-determination oriented transition program. Take Action teaches students the skills needed to attain their goals. In this study, we taught Take Action to 6 adolescents with mild to moderate mental retardation to attain their daily IEP goals. Results show that all students learned to attain their own daily goals and maintained these skills following withdrawal of teacher instruction. © 2000, Sage Publications. All rights reserved.;2000;;Career Development for Exceptional Individuals;23;1;27-38;;10.1177/088572880002300103;;#9782;German 2000;
Self-prompted Communication Book Use to Increase Social Interaction Among High School Students;"Hughes, Carolyn; Rung, Lori L.; Wehmeyer, Michael L.; Agran, Martin; Copeland, Susan R.; Hwang, Bogseon";This investigation examined the effects of self prompted communication book training provided by peers on the conversational initiations of four high school students with extensive support needs. The intervention was associated with increases in participants' appropriate initiations and general education conversational partners' corresponding responses. The self -prompting strategy also was associated with increases in conversational topics discussed and decreases in inap propriate initiations by participants. In addition, interviews conducted postintervention generally indicated that participants believed they had (a) met their social goals to increase their interactions with their general education peers and (b) made more friends at school. Implications of findings are discussed and suggestions made for future programmatic efforts.;2000;2000-09-01;Journal of the Association for Persons with Severe Handicaps;25;3;153-166;;10.2511/rpsd.25.3.153;;#45927;Hughes 2000;systematic_review_manual
Reducing overselective attention to compound visual cues with extended training in adolescents with severe mental retardation;Huguenin, NH;;2000;;RESEARCH IN DEVELOPMENTAL DISABILITIES;21;2;93-113;;10.1016/S0891-4222(00)00027-5;;#1200;Huguenin 2000;
Teaching children with autism to initiate and sustain cooperative play;"Jahr, E; Eldevik, S; Eikeseth, S";;2000;;RESEARCH IN DEVELOPMENTAL DISABILITIES;21;2;151-169;;10.1016/S0891-4222(00)00031-7;;#1221;Jahr 2000;
The effects of a teacher editor, peer editing, and serving as a peer editor on elementary students' self-editing behavior;Jodlowski, Sheila Marie;Three experiments were done on the effects of the functional relations between peer editing, teacher editing, and serving as a peer editor on student self-editing behavior and maintenance. Experiment I tested the effects of peer editing and compared it to the effects of teacher editing on the acquisition of self-editing skills. The participants in Experiment I were three seventh grade students with learning disabilities and one third grade student with developmental delays. Learn units to criterion were measured and results indicated that the peer editing package resulted in completion of essays with fewer learn units to criterion than the teacher editor alone treatment. Self-editing probes resulted in fewer learn units to criterion after the peer editing treatment than after the teacher editing treatment. These results remained the same regardless of treatment order. Experiment II examined the relationship between a teacher editor and a peer editor, however, the writer was not serving as an editor, but rather only receiving peer feedback. This allowed for further analysis of whether the peer editor was having an effect on the writer's behavior. The experiment examined a teacher editor treatment and peer editor treatment without the writer functioning as an editor. The students that participated in Experiment II were classified as having developmental delays and language disorders. The results of Experiment II did not indicate a significant effect in a peer editor treatment as compared to a teacher editor treatment. The effects seen in self-editing acquisition did not maintain over time. The effects seen in accuracy of self-editing skills were inconsistent across students. Experiment III was conducted to examine the effects between a teacher editor and a teacher editor while the writer was serving as a peer editor. The purpose of this experiment was to further examine the controlling variables involved in peer editing. The two treatments were examined with regard to their effects on self-editing acquisition, maintenance over time, and accuracy of self-editing. The participants in this experiment were two students, one with a language disorder and one with developmental delays. The results of this experiment indicated that a teacher editor while the writer was serving as a peer editor had a significant effect on self-editing acquisition as well as on maintenance probes over time. These data showed that essays were completed in fewer learn units to criterion as well as maintaining this effect over time. The effects seen in accuracy of self-editing skills indicated that the students were more accurate in the self-editing process after the writer editing treatment than after the teacher editor alone treatment. These effects on accuracy maintained over time. (PsycINFO Database Record (c) 2016 APA, all rights reserved);2000;11-01;Dissertation Abstracts International: Section B: The Sciences and Engineering;61;5-B;2796-2796;;;;#25351;Jodlowski 2000;original_search
